Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
nic,821,1195,4.04656122,4.038803072,0.007758148,1.43457383,6188,5.425369902,4.956775788,0.468594114,4.076416337
nic,827,1280,4.157045603,4.14980648,0.007239123,1.454545455,6825,5.466505004,4.979937239,0.486567765,4.128856624
nic,832,1415,4.182723839,4.169349855,0.013373984,1.439471007,6422,5.524650992,5.013324512,0.51132648,3.974009901
nic,840,1308,4.135928241,4.113431137,0.022497105,1.448504983,5696,5.530519274,5.022786868,0.507732406,3.955555556
nic,844,1210,4.119478946,4.082308843,0.037170103,1.433649289,4765,5.499834271,4.970843801,0.52899047,3.790771679
nic,856,1125,4.253978146,4.205824657,0.048153489,1.462938882,4733,5.426359939,4.915557187,0.510802752,3.657650696
nic,862,1182,4.287219966,4.213338231,0.073881735,1.464684015,5257,5.464220516,4.943983971,0.520236546,3.720452937
nic,869,1354,4.328504434,4.238742772,0.089761662,1.512849162,5699,5.49792519,4.986424661,0.511500529,3.812040134
nic,870,1357,4.279922381,4.197306005,0.082616376,1.499447514,5664,5.488876957,4.97687947,0.511997487,3.898141776
nic,873,1458,4.491748501,4.401993983,0.089754518,1.544491525,5303,5.535145446,5.001523194,0.533622253,3.766335227
nic,876,1328,4.557202265,4.47036151,0.086840755,1.537037037,5397,5.656949091,5.129607763,0.527341329,3.939416058
nic,880,1216,4.685561985,4.585634156,0.099927829,1.554987212,5519,5.706411646,5.162394887,0.544016759,3.939329051
nic,882,980,4.470146615,4.396656733,0.073489882,1.473684211,4751,5.668532036,5.156933768,0.511598267,3.828364222
nic,894,1032,4.48772327,4.404101741,0.083621529,1.513196481,4701,5.528319231,5.024475984,0.503843247,3.742834395
nic,901,1336,4.427775452,4.329340956,0.098434495,1.566236811,4488,5.47746912,4.992291679,0.485177441,3.702970297
nic,910,1516,4.637721978,4.516580376,0.121141602,1.69955157,3561,5.426099252,4.939057616,0.487041636,3.917491749
nic,916,2108,4.741108959,4.642006027,0.099102933,1.900811542,1638,5.280976634,4.7698625,0.511114134,3.576419214
nic,922,1861,4.753633137,4.650888157,0.10274498,1.920536636,2083,5.415024162,4.94613017,0.468893992,3.759927798
nic,922,1713,4.716768268,4.633090854,0.083677414,1.832085562,3847,5.610302125,5.077368326,0.532933799,3.767874633
nic,929,1288,4.573412513,4.497622609,0.075789904,1.683660131,5542,5.58323048,5.058958268,0.524272212,3.785519126
